"ZipCode","Lat_deg","Long_deg","MedAge_24","MedAge_23","MedAge_22","AvgAge_24","AvgAge_23","AvgAge_22","MedHouseIncome_24","MedHouseIncome_23","MedHouseIncome_22","AvgHouseIncome_24","AvgHouseIncome_23","AvgHouseIncome_22","TotHouseUnits_24","TotHouseUnits_23","TotHouseUnits_22","OwnerOccupiedHouseUnits_24","OwnerOccupiedHouseUnits_23","OwnerOccupiedHouseUnits_22","Pop16UnempRate_24","Pop16UnempRate_23","Pop16UnempRate_22","Pop16CLFEmp_24","Pop16CLFEmp_23","Pop16CLFEmp_22","Pop16CLF_Unemp_24","Pop16CLF_Unemp_23","Pop16CLF_Unemp_22","AvgCheckValue_24","AvgCheckValue_23","AvgCheckValue_22","CITYNAME","Banks","NumBanks","NavigantCount"
"02888","41.748764999999999","-71.41234","46.399999999999999","45.600000000000001","45","45.100000000000001","44.399999999999999","43.899999999999999","76870","80835","84039","101516","97499","102256","9087","9029","9122","6618","6583","6552","5.2999999999999998","3.6000000000000001","3.1000000000000001","10494","10904","11114","583","403","353","15355.379999999999","14246.82","14198.43","Warwick","Brookline Bancorp, Inc., Brookline Bancorp, Inc., Coastal1 Credit Union, Navigant Credit Union, Washington Trust Bancorp, Inc., Wave Federal Credit Union",5,1
"02889","41.705742999999998","-71.391555999999994","44.799999999999997","44.299999999999997","43.899999999999999","43.899999999999999","43.399999999999999","42.899999999999999","81756","83680","88257","104605","98329","102053","12610","12525","12469","9223","8964","9153","6.7999999999999998","4.7000000000000002","3.3999999999999999","15158","15769","15769","1109","774","552","15831.790000000001","14564.68","14725.07","Warwick","Bank of America Corporation, Citizens Financial Group, Inc., Citizens Financial Group, Inc., HarborOne Bancorp, Inc., Navigant Credit Union, The Toronto-Dominion Bank",5,1
"02891","41.360792000000004","-71.793339000000003","50.799999999999997","48.600000000000001","48.100000000000001","47.700000000000003","46.299999999999997","45.799999999999997","92364","94230","82320","120509","121532","113241","12773","12793","11970","6506","6880","6113","7.9000000000000004","5.9000000000000004","7.4000000000000004","11455","11815","11098","987","739","884","16980.73","16076.190000000001","13984.74","Westerly","Bank of America Corporation, Berkshire Hills Bancorp, Inc., Citizens Financial Group, Inc., Dime Bank, Washington Trust Bancorp, Inc., Washington Trust Bancorp, Inc., Washington Trust Bancorp, Inc., Westerly Community Credit Union, Westerly Community Credit Union",6,0
"02892","41.499772999999998","-71.600306000000003","45.299999999999997","47.200000000000003","47.600000000000001","43.299999999999997","44.600000000000001","44.600000000000001","119524","118407","118066","160580","150462","150160","2161","2158","2134","1803","1576","1776","4","4","3.8999999999999999","3047","3280","3162","128","137","128","21381.369999999999","18912.849999999999","18799.27","West Kingston","none",0,0
"02893","41.698571999999999","-71.51549","41.700000000000003","41.399999999999999","41.200000000000003","42.200000000000003","41.5","41.200000000000003","65462","69882","64725","87263","84960","80949","14533","14441","14382","7294","7592","7199","4.5999999999999996","3.1000000000000001","3.7999999999999998","16929","16908","15800","822","546","625","12322.57","11723.469999999999","10706.379999999999","West Warwick","Centreville Bank, Citizens Financial Group, Inc., Natco Employees Federal Credit Union, Ocean State Credit Union",4,0
"02894","41.459994000000002","-71.700880999999995","44.899999999999999","46.399999999999999","46.600000000000001","43.100000000000001","44.299999999999997","44","108958","102083","98465","130857","118068","112607","333","339","330","281","301","270","2.3999999999999999","2.5","3.2000000000000002","539","575","517","13","15","17","20410.459999999999","18604.34","16644.490000000002","Wood River Junction","none",0,0
"02895","42.000812000000003","-71.499289000000005","38.799999999999997","38.299999999999997","37.899999999999999","39.899999999999999","39.299999999999997","38.899999999999999","57592","50297","50487","79201","70878","67886","19799","19795","19863","6537","7210","6730","10.699999999999999","6.7000000000000002","6.5","19886","20525","19662","2386","1472","1360","9918.2099999999991","9095.0499999999993","8671.2999999999993","Woonsocket","Banco Santander, S.A., Bank of America Corporation, Blackstone River Federal Credit Union, Brookline Bancorp, Inc., Citizens Financial Group, Inc., Milford Federal Bank, Navigant Credit Union",7,1
"02896","41.972811999999998","-71.550343999999996","49","47.5","47.5","46.700000000000003","45.700000000000003","45.600000000000001","90154","83404","89034","114570","103813","112032","4822","4742","5057","3463","3318","3539","5","3.1000000000000001","4.4000000000000004","5954","6040","6421","310","193","297","16427.209999999999","14419.870000000001","14683.440000000001","North Smithfield","Citizens Financial Group, Inc., Navigant Credit Union",2,1
"02898","41.523941000000001","-71.671751","45.399999999999999","44.5","45","43.5","42.600000000000001","42.399999999999999","103726","105515","99370","130585","124822","119240","779","763","719","668","673","609","1.7","2.1000000000000001","2.7999999999999998","1183","1204","1123","21","26","32","19756.040000000001","18571.41","16876.32","Wyoming","Citizens Financial Group, Inc., Washington Trust Bancorp, Inc., Westerly Community Credit Union",3,0
"02903","41.819862000000001","-71.411140000000003","31.199999999999999","30.199999999999999","31.5","37.299999999999997","36.5","36.899999999999999","59148","51593","48595","111506","100288","96775","7000","6915","6224","889","1124","701","7.7999999999999998","5.2999999999999998","7.9000000000000004","6896","6995","6188","586","391","530","8831.1399999999994","8039.2200000000003","7510.9499999999998","Providence","Banco Santander, S.A., Banco Santander, S.A., Bank of America Corporation, Bank of America Corporation, Bank of America Corporation, Brookline Bancorp, Inc., Citizens Access - a Division of Citizens Bank, National Association, Citizens Financial Group, Inc., Citizens Financial Group, Inc., HarborOne Bancorp, Inc., JPMorgan Chase & Co., Narragansett Financial Corporation, OceanPoint Financial Partners, MHC, Prospect Financial Corporation, Rhode Island Credit Union, The Toronto-Dominion Bank, Washington Trust Bancorp, Inc., Washington Trust Bancorp, Inc., Webster Financial Corporation",14,0
